#
# ATMEL AVR series microcontroller instruction table
#
#	r = source register id
#	d = destination register id
#	D = destination register pair (one of 24-25, 26-27, 28-29, 30-31)
#	k = displacement from $+1
#	K = constant "K"
#	s = bit number (0..7) of flag register
#
#mnemonic	opcode			desc
NOP		0000:0000:0000:0000	# no operation
BRMI		1111:00kk:kkkk:k010	# branch if minus (alias)
BRNE		1111:01kk:kkkk:k001	# branch if not equal (alias)
BRPL		1111:01kk:kkkk:k010	# branch if plus (alias)
BRSH		1111:01kk:kkkk:k000	# branch if above or equal (alias)
BRTC		1111:01kk:kkkk:k110	# branch if flag T cleared (alias)
BRTS		1111:00kk:kkkk:k110	# branch if flag T set (alias)
BRVC		1111:01kk:kkkk:k011	# branch if flag "overflow" cleared
BRVS		1111:00kk:kkkk:k011	# branch if flag "overflow" set
BST		1111:101d:dddd:0bbb	# bit store to flag T
SBRC		1111:110r:rrrr:0bbb	# skip if bit in regs cleared
SBRS		1111:111r:rrrr:0bbb	# skip if bit in regs set
